,ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
525644,133.0,112.0,-3.0,1334.0,1337,1021,136.0,,0,0.0,4,27,0.0,1021.0,IAD,908.0,0,1260,0.0,1,0.0,MSP,0.0,N622NW,8.0,13.0,NW,0.0,2005
525662,,,,,1650,1502,108.0,B,1,0.0,6,22,,,IAD,413.0,0,981,0.0,1,0.0,BOS,0.0,000000,0.0,0.0,UA,0.0,2005
525780,69.0,57.0,-47.0,1151.0,1238,1050,108.0,,0,0.0,5,7,-8.0,1042.0,IAD,419.0,0,1510,0.0,1,0.0,TYS,0.0,N687BR,4.0,8.0,DH,0.0,2005
525838,,,,,1724,1555,89.0,B,1,0.0,6,22,,,IAD,296.0,0,1547,0.0,1,0.0,SYR,0.0,N643BR,0.0,0.0,DH,0.0,2005
525916,99.0,73.0,20.0,1635.0,1615,1315,120.0,,0,20.0,4,6,41.0,1356.0,IAD,589.0,0,388,0.0,1,0.0,ORD,0.0,N649UA,5.0,21.0,UA,0.0,2005
525977,160.0,142.0,23.0,1201.0,1138,925,133.0,,0,0.0,3,19,-4.0,921.0,IAD,810.0,0,1572,0.0,1,23.0,TPA,0.0,N488UA,5.0,13.0,UA,0.0,2005
525989,76.0,60.0,-5.0,1158.0,1203,1040,83.0,,0,0.0,5,28,2.0,1042.0,IAD,401.0,0,1998,0.0,1,0.0,CAE,0.0,N663BR,6.0,10.0,DH,0.0,2005
525990,95.0,71.0,-8.0,1759.0,1807,1630,97.0,,0,0.0,7,2,-6.0,1624.0,IAD,476.0,0,1245,0.0,1,0.0,IND,0.0,N676BR,7.0,16.0,DH,0.0,2005
526091,84.0,66.0,-25.0,2025.0,2050,1910,100.0,,0,0.0,4,6,-9.0,1901.0,IAD,515.0,0,1259,0.0,1,0.0,SAV,0.0,N627BR,6.0,12.0,DH,0.0,2005
526177,149.0,122.0,25.0,2110.0,2045,1840,125.0,,0,0.0,6,8,1.0,1841.0,IAD,758.0,0,6,1.0,1,24.0,MCO,0.0,N804BR,7.0,19.0,DH,0.0,2005
526183,173.0,157.0,-9.0,2036.0,2045,1534,191.0,,0,0.0,2,25,9.0,1543.0,IAD,1452.0,0,932,0.0,1,0.0,DEN,0.0,N572UA,5.0,11.0,UA,0.0,2005
526263,237.0,68.0,164.0,1526.0,1242,1110,92.0,,0,0.0,3,19,19.0,1129.0,IAD,476.0,0,1584,1.0,1,163.0,IND,0.0,N661BR,11.0,158.0,DH,0.0,2005
526366,116.0,100.0,-5.0,1001.0,1006,815,111.0,,0,0.0,2,4,-10.0,805.0,IAD,631.0,0,1243,0.0,1,0.0,JAX,0.0,N678BR,5.0,10.0,DH,0.0,2005
526461,89.0,66.0,19.0,1808.0,1749,1625,84.0,,0,14.0,1,24,14.0,1639.0,IAD,388.0,0,5803,0.0,1,5.0,CVG,0.0,N719CA,8.0,15.0,OH,0.0,2005
526535,305.0,279.0,51.0,1646.0,1555,810,285.0,,0,31.0,7,23,31.0,841.0,IAD,2253.0,0,918,0.0,1,20.0,SAN,0.0,N507UA,10.0,16.0,UA,0.0,2005
526720,181.0,156.0,10.0,1527.0,1517,1127,170.0,,0,0.0,1,24,-1.0,1126.0,IAD,1172.0,0,1310,0.0,1,0.0,DFW,0.0,N551AA,8.0,17.0,AA,0.0,2005
526733,82.0,59.0,-4.0,1016.0,1020,855,85.0,,0,0.0,2,18,-1.0,854.0,IAD,321.0,0,1444,0.0,1,0.0,CLT,0.0,N632BR,5.0,18.0,DH,0.0,2005
526774,254.0,239.0,-24.0,1511.0,1535,800,275.0,,0,0.0,3,5,-3.0,757.0,IAD,2288.0,0,946,0.0,1,0.0,LAX,0.0,N775UA,5.0,10.0,UA,0.0,2005
526887,132.0,115.0,50.0,1401.0,1311,1130,101.0,,0,0.0,6,22,19.0,1149.0,IAD,515.0,0,1254,19.0,1,31.0,SAV,0.0,N673BR,6.0,11.0,DH,0.0,2005
526904,100.0,75.0,-2.0,2355.0,2357,2215,102.0,,0,0.0,2,11,0.0,2215.0,IAD,533.0,0,4622,0.0,1,0.0,ATL,0.0,N708EV,5.0,20.0,EV,0.0,2005
527013,,,,,1235,1050,105.0,A,1,0.0,7,16,,,IAD,413.0,0,1120,0.0,1,0.0,BOS,0.0,N690BR,0.0,0.0,DH,0.0,2005
527017,100.0,86.0,-24.0,1728.0,1752,1555,117.0,,0,0.0,6,29,-7.0,1548.0,IAD,631.0,0,1517,0.0,1,0.0,JAX,0.0,N683BR,5.0,9.0,DH,0.0,2005
527022,,,,,1618,835,283.0,,0,0.0,6,1,4.0,839.0,IAD,2288.0,1,76,0.0,1,0.0,LAX,0.0,N3CFAA,0.0,15.0,AA,0.0,2005
527083,92.0,72.0,1.0,1312.0,1311,1130,101.0,,0,0.0,1,10,10.0,1140.0,IAD,515.0,0,1254,0.0,1,0.0,SAV,0.0,N657BR,6.0,13.0,DH,0.0,2005
527121,91.0,79.0,-19.0,1631.0,1650,1510,100.0,,0,0.0,1,24,-10.0,1500.0,IAD,441.0,0,1615,0.0,1,0.0,CHS,0.0,N667BR,5.0,7.0,DH,0.0,2005
